iter	Passed	Remaining
434	1337	1737
435	1338	1731
436	1340	1726
437	1341	1721
438	1342	1715
439	1347	1714
440	1348	1708
441	1349	1704
442	1351	1698
443	1352	1693
444	1353	1687
445	1354	1682
446	1355	1676
447	1355	1670
448	1356	1665
449	1357	1659
450	1363	1659
451	1364	1654
452	1366	1650
453	1368	1645
454	1370	1641
455	1372	1637
456	1378	1638
457	1385	1639
458	1387	1635
459	1400	1644
460	1403	1640
461	1405	1636
462	1407	1632
463	1408	1627
464	1410	1622
465	1412	1618
466	1414	1613
467	1415	1609
468	1421	1609
469	1422	1604
470	1424	1599
471	1425	1594
472	1427	1590
473	1428	1585
474	1429	1580
475	1430	1575
476	1431	1570
477	1437	1569
478	1439	1566
479	1440	1561
480	1442	1556
481	1443	1551
482	1444	1546
483	1446	1542
484	1453	1543
485	1454	1538
486	1461	1539
487	1463	1535
488	1470	1536
489	1472	1532
490	1473	1527
491	1474	1522
492	1475	1517
493	1476	1512
494	1477	1507
495	1478	1502
496	1480	1498
497	1483	1495
498	1485	1491
499	1487	1487
500	1488	1482
501	1489	1477
502	1490	1472
503	1491	1468
504	1492	1463
505	1493	1458
506	1494	1453
507	1499	1451
508	1500	1447
509	1501	1442
510	1502	1437
511	1503	1433
512	1504	1428
513	1505	1423
514	1506	1419
515	1507	1414
516	1508	1409
517	1509	1404
518	1514	1404
519	1516	1400
520	1518	1395
521	1519	1391
522	1519	1386
523	1520	1381
524	1521	1376
525	1522	1372
526	1523	1367
527	1524	1362
528	1525	1358
529	1528	1355
530	1529	1351
531	1530	1346
532	1531	1341
533	1532	1336
534	1533	1332
535	1533	1327
536	1535	1323
537	1537	1319
538	1538	1315
539	1539	1311
540	1540	1306
541	1540	1302
542	1542	1298
543	1544	1294
544	1545	1290
545	1546	1285
546	1547	1281
547	1549	1277
548	1550	1273
549	1554	1271
550	1555	1267
551	1556	1263
552	1558	1259
553	1559	1255
554	1561	1251
555	1562	1247
556	1562	1243
557	1563	1238
558	1564	1234
559	1567	1231
560	1568	1227
561	1570	1223
562	1572	1220
563	1573	1216
564	1574	1212
565	1575	1208
566	1576	1203
567	1577	1199
568	1578	1195
569	1579	1191
570	1584	1190
571	1585	1186
572	1586	1182
573	1587	1178
574	1588	1174
575	1589	1169
576	1590	1165
577	1591	1161
578	1592	1157
579	1593	1153
580	1594	1150
581	1595	1146
582	1598	1143
583	1599	1139
584	1601	1135
585	1602	1132
586	1603	1128
587	1604	1124
588	1605	1120
589	1607	1116
590	1608	1112
591	1612	1111
592	1614	1107
593	1615	1104
594	1616	1100
595	1617	1096
596	1618	1092
597	1619	1088
598	1620	1084
599	1621	1080
600	1621	1076
601	1623	1073
602	1623	1069
603	1628	1067
604	1630	1064
605	1631	1060
606	1632	1056
607	1633	1052
608	1633	1049
609	1634	1045
610	1635	1041
611	1636	1037
612	1636	1033
613	1637	1029
614	1638	1025
615	1639	1022
616	1644	1021
617	1645	1017
618	1647	1013
619	1650	1011
620	1651	1007
621	1652	1004
622	1653	1000
623	1654	997
624	1656	994
625	1660	992
626	1662	988
627	1663	985
628	1664	981
629	1665	978
630	1666	974
631	1667	970
632	1667	967
633	1668	963
634	1669	959
635	1670	955
636	1675	954
637	1677	951
638	1678	948
639	1679	944
640	1680	941
641	1682	937
642	1683	934
643	1684	931
644	1685	927
645	1686	924
646	1687	920
647	1689	917
648	1690	914
649	1690	910
650	1691	907
651	1693	903
652	1693	900
653	1694	896
654	1695	893
655	1696	889
656	1697	886
657	1698	882
658	1702	881
659	1704	877
660	1705	874
661	1706	871
662	1707	868
663	1708	864
664	1709	861
665	1710	857
666	1711	854
667	1712	851
668	1713	847
669	1714	844
670	1718	842
671	1719	839
672	1720	836
673	1721	832
674	1722	829
675	1723	826
676	1724	822
677	1725	819
678	1726	816
679	1727	813
680	1728	809
681	1729	806
682	1731	803
683	1738	802
684	1739	799
685	1740	796
686	1744	794
687	1745	791
688	1747	788
689	1749	785
690	1750	782
691	1751	779
692	1752	776
693	1753	773
694	1754	769
695	1755	766
696	1759	764
697	1760	761
698	1761	758
699	1762	755
700	1763	752
701	1764	749
702	1765	745
703	1766	742
704	1767	739
705	1768	736
706	1769	733
707	1770	730
708	1771	726
709	1774	724
710	1775	721
711	1777	718
712	1778	715
713	1779	712
714	1780	709
715	1781	706
716	1782	703
717	1783	700
718	1784	697
719	1785	694
720	1789	692
721	1790	689
722	1792	686
723	1793	683
724	1794	680
725	1795	677
726	1796	674
727	1796	671
728	1797	668
729	1798	665
730	1799	662
731	1800	659
732	1801	656
733	1806	654
734	1807	651
735	1808	648
736	1809	645
737	1810	642
738	1811	639
739	1812	636
740	1813	633
741	1813	630
742	1814	627
743	1815	624
744	1816	621
745	1821	620
746	1822	617
747	1823	614
748	1824	611
749	1824	608
750	1825	605
751	1826	602
752	1827	599
753	1828	596
754	1829	593
755	1830	590
756	1831	587
757	1832	584
758	1839	583
759	1841	581
760	1842	578
761	1843	575
762	1845	573
763	1845	570
764	1846	567
765	1847	564
766	1851	562
767	1852	559
768	1853	556
769	1854	554
770	1855	551
771	1856	548
772	1857	545
773	1858	542
774	1859	539
775	1860	536
776	1861	534
777	1861	531
778	1862	528
779	1866	526
780	1867	523
781	1869	521
782	1870	518
783	1870	515
784	1871	512
785	1872	509
786	1873	507
787	1874	504
788	1875	501
789	1876	498
790	1877	496
791	1878	493
792	1880	490
793	1882	488
794	1883	485
795	1884	482
796	1885	480
797	1886	477
798	1887	474
799	1888	472
800	1889	469
801	1889	466
802	1890	463
803	1891	461
804	1895	459
805	1896	456
806	1897	453
807	1899	451
808	1899	448
809	1900	445
810	1901	443
811	1902	440
812	1903	437
813	1904	435
814	1905	432
815	1906	429
816	1907	427
817	1911	425
818	1913	422
819	1914	420
820	1915	417
821	1916	415
822	1917	412
823	1918	409
824	1919	407
825	1920	404
826	1921	401
827	1922	399
828	1923	396
829	1927	394
830	1928	392
831	1930	389
832	1931	387
833	1932	384
834	1933	382
835	1935	379
836	1936	377
837	1938	374
838	1952	374
839	1954	372
840	1955	369
841	1958	367
842	1959	364
843	1960	362
844	1961	359
845	1962	357
846	1963	354
847	1964	352
848	1965	349
849	1966	347
850	1967	344
851	1973	342
852	1975	340
853	1979	338
854	1980	335
855	1980	333
856	1981	330
857	1982	328
858	1983	325
859	1988	323
860	1989	321
861	1990	318
862	1991	316
863	1992	313
864	1993	311
865	1994	308
866	1995	306
867	1996	303
868	1997	301
869	1998	298
870	1999	296
871	2004	294
872	2005	291
873	2006	289
874	2007	286
875	2008	284
876	2009	281
877	2010	279
878	2011	276
879	2011	274
880	2012	271
881	2013	269
882	2014	266
883	2018	264
884	2020	262
885	2021	260
886	2022	257
887	2023	255
888	2024	252
889	2025	250
890	2026	247
891	2026	245
892	2027	242
893	2028	240
894	2029	238
895	2030	235
896	2038	234
897	2039	231
898	2041	229
899	2043	227
900	2044	224
901	2045	222
902	2046	219
903	2051	217
904	2052	215
905	2053	213
906	2054	210
907	2055	208
908	2056	205
909	2057	203
910	2058	201
911	2059	198
912	2060	196
913	2061	193
914	2066	191
915	2067	189
916	2068	187
917	2069	184
918	2070	182
919	2071	180
920	2072	177
921	2073	175
922	2074	173
923	2074	170
924	2075	168
925	2076	165
926	2077	163
927	2082	161
928	2083	159
929	2084	156
930	2086	154
931	2086	152
932	2087	149
933	2088	147
934	2089	145
935	2090	142
936	2091	140
937	2092	138
938	2093	135
939	2097	133
940	2099	131
941	2100	129
942	2101	127
943	2102	124
944	2103	122
945	2104	120
946	2105	117
947	2106	115
948	2107	113
949	2108	110
950	2109	108
951	2113	106
952	2114	104
953	2115	102
954	2116	99
955	2118	97
956	2119	95
957	2120	92
958	2120	90
959	2121	88
960	2122	86
961	2123	83
962	2124	81
963	2130	79
964	2131	77
965	2133	75
966	2134	72
967	2136	70
968	2137	68
969	2138	66
970	2139	63
971	2145	61
972	2147	59
973	2149	57
974	2150	55
975	2150	52
976	2151	50
977	2152	48
978	2153	46
979	2154	43
980	2155	41
981	2155	39
982	2160	37
983	2162	35
984	2163	32
985	2166	30
986	2167	28
987	2168	26
988	2169	24
989	2170	21
990	2170	19
991	2171	17
992	2176	15
993	2177	13
994	2178	10
995	2179	8
996	2179	6
997	2180	4
998	2181	2
999	2182	0
